Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
142,Mario Kart DS    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,N/A,N/A,N/A,N/A,N/A,14th Nov 05  ,N/A
143,Pokémon Gold / Silver Version    ,GB,Nintendo  ,Game Freak  ,N/A  ,9.2  ,N/A  ,23.10m,N/A,N/A,N/A,N/A,N/A,14th Oct 00  ,N/A
144,God of War (2018)    ,All,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,N/A  ,N/A  ,N/A  ,23.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 18  ,23rd Nov 22
145,Terraria    ,PC,Re-Logic  ,Re-Logic  ,N/A  ,8.8  ,N/A  ,23.00m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,19th Mar 18
146,Call of Duty: Modern Warfare 2    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,22.70m,N/A,N/A,N/A,N/A,N/A,10th Nov 09  ,14th Oct 20
147,Wii Fit    ,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,N/A,N/A,N/A,N/A,N/A,21st May 08  ,N/A
148,Microsoft Flight Simulator    ,Series,Microsoft  ,Sublogic  ,N/A  ,N/A  ,N/A  ,22.20m,N/A,N/A,N/A,N/A,N/A,01st Nov 82  ,06th Oct 22
149,SpongeBob SquarePants    ,Series,THQ  ,Vicarious Visions  ,N/A  ,N/A  ,N/A  ,22.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 01  ,07th Mar 20
150,Yu-Gi-Oh!    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.80m,N/A,N/A,N/A,N/A,N/A,20th Mar 02  ,12th Jan 21
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
151,Castlevania    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.63m,N/A,N/A,N/A,N/A,N/A,26th Sep 86  ,03rd Mar 20
152,Teenage Mutant Ninja Turtles    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,21.60m,N/A,N/A,N/A,N/A,N/A,12th May 89  ,16th Mar 20
153,Dynasty Warriors    ,Series,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,21.28m,N/A,N/A,N/A,N/A,N/A,30th Jun 97  ,24th Mar 20
154,Luigi's Mansion    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,21.23m,N/A,N/A,N/A,N/A,N/A,18th Nov 01  ,20th Feb 20
155,Wii Fit Plus    ,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,N/A,N/A,N/A,N/A,N/A,04th Oct 09  ,N/A
156,Imagine    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,21.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 07  ,10th Feb 20
157,Yakuza    ,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,20.86m,N/A,N/A,N/A,N/A,N/A,05th Sep 06  ,02nd Mar 20
158,Final Fantasy X/X-2    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,20.80m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,19th Oct 20
159,Naruto: Ultimate Ninja Storm    ,Series,Namco Bandai Games  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,20.80m,N/A,N/A,N/A,N/A,N/A,04th Nov 08  ,17th Oct 20
160,Super Mario World    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,N/A,N/A,N/A,N/A,N/A,13th Aug 91  ,10th Aug 18
161,Grand Theft Auto V    ,PS3,Rockstar Games  ,Rockstar North  ,9.5  ,9.4  ,N/A  ,N/A,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,N/A
162,The Lord of the Rings    ,Series,Melbourne House  ,Beam Software  ,N/A  ,N/A  ,N/A  ,20.17m,N/A,N/A,N/A,N/A,N/A,01st Nov 82  ,09th Mar 20
163,Super Robot Wars    ,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.06m,N/A,N/A,N/A,N/A,N/A,20th Apr 91  ,19th Feb 20
164,Cyberpunk 2077    ,All,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 20  ,02nd Oct 22
165,Dying Light    ,All,Warner Bros. Interactive Entertainment  ,Techland  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,27th Jan 15  ,22nd Jul 21
166,Fallout 4    ,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,30th Oct 20
167,FIFA 19    ,All,EA Sports  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Sep 18  ,15th Oct 20
168,Frogger    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,23rd Oct 81  ,26th Feb 20
169,Gundam    ,Series,Bandai  ,Banpresto  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,02nd May 97  ,08th Mar 20
170,Horizon    ,Series,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,24th Sep 20
171,Horizon: Zero Dawn    ,All,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,11th Feb 22
172,Lemmings    ,Series,Psygnosis  ,DMA Design  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,14th Feb 91  ,14th Mar 20
173,Marvel's Spider-Man    ,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,8.0  ,9.1  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,26th Sep 18
174,Monster Hunter: World    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,13th Oct 20
175,Prince of Persia    ,Series,Broderbund  ,Broderbund  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,03rd Aug 89  ,09th Feb 20
176,Rayman Raving Rabbids    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,10th Feb 20
177,SimCity    ,Series,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,02nd Feb 89  ,17th Feb 20
178,Simple    ,Series,Agetec  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,30th Nov 02  ,12th Jan 21
179,SingStar    ,Series,Sony Computer Entertainment Europe  ,London Studios  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,21st May 04  ,18th Feb 20
180,Sniper Elite    ,Series,Namco  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 05  ,13th Feb 20
181,Spyro    ,Series,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 98  ,06th Mar 20
182,Stardew Valley    ,Series,Chucklefish  ,ConcernedApe  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,26th Feb 16  ,12th Feb 20
183,Stardew Valley    ,All,ConcernedApe  ,ConcernedApe  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,26th Feb 16  ,28th Dec 20
184,Tom Clancy's The Division    ,Series,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,08th Mar 16  ,14th May 20
185,Watch Dogs    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,27th May 14  ,20th Mar 20
186,God of War (2018)    ,PS4,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,9.0  ,9.7  ,10.0  ,19.50m,N/A,N/A,N/A,N/A,N/A,20th Apr 18  ,26th May 22
187,Grand Theft Auto V    ,PS4,Rockstar Games  ,Rockstar North  ,N/A  ,9.7  ,N/A  ,N/A,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  ,03rd Jan 18
188,StarCraft    ,Series,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,19.10m,N/A,N/A,N/A,N/A,N/A,31st Mar 98  ,18th Feb 20
189,Brain Age: Train Your Brain in Minutes a Day    ,DS,Nintendo  ,Nintendo SDD  ,N/A  ,8.1  ,N/A  ,19.01m,N/A,N/A,N/A,N/A,N/A,17th Apr 06  ,N/A
190,Call of Duty: Ghosts    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,19.00m,N/A,N/A,N/A,N/A,N/A,05th Nov 13  ,14th Oct 20
191,Driver    ,Series,GT Interactive  ,Ubisoft Reflections  ,N/A  ,N/A  ,N/A  ,19.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,09th Feb 20
192,WarCraft    ,Series,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,19.00m,N/A,N/A,N/A,N/A,N/A,23rd Nov 94  ,21st Mar 20
193,Mario Kart 7    ,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,9.0  ,8.2  ,N/A  ,18.97m,N/A,N/A,N/A,N/A,N/A,04th Dec 11  ,N/A
194,Midnight Club    ,Series,Rockstar Games  ,Rockstar San Diego  ,N/A  ,N/A  ,N/A  ,18.50m,N/A,N/A,N/A,N/A,N/A,26th Oct 00  ,15th Feb 20
195,Super Mario Party    ,NS,Nintendo  ,"Nd Cube Co., Ltd.  ",7.0  ,7.3  ,N/A  ,18.35m,N/A,N/A,N/A,N/A,N/A,05th Oct 18  ,19th Nov 18
196,Super Mario Land    ,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,18.14m,N/A,N/A,N/A,N/A,N/A,01st Aug 89  ,N/A
197,Ace Combat    ,Series,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,18.00m,N/A,N/A,N/A,N/A,N/A,09th Sep 95  ,11th Mar 20
198,Need for Speed: Most Wanted    ,All,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,17.80m,N/A,N/A,N/A,N/A,N/A,15th Nov 05  ,20th Oct 20
199,Pokémon Diamond / Pearl Version    ,DS,Nintendo  ,Game Freak  ,N/A  ,8.6  ,N/A  ,17.67m,N/A,N/A,N/A,N/A,N/A,28th Apr 07  ,N/A
200,Elden Ring    ,All,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,17.50m,N/A,N/A,N/A,N/A,N/A,25th Feb 22  ,28th Feb 22
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
451,Final Fantasy VIII    ,PS,Square EA  ,SquareSoft  ,N/A  ,9.4  ,N/A  ,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99  ,N/A
452,Final Fantasy X    ,PS2,Square  ,SquareSoft  ,N/A  ,9.0  ,10.0  ,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,N/A
453,Monument Valley    ,Series,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,8.59m,N/A,N/A,N/A,N/A,N/A,03rd Apr 14  ,30th Jan 21
454,Pokémon Black 2 and White 2    ,DS,Nintendo  ,Game Freak  ,8.9  ,8.0  ,8.3  ,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12  ,25th Feb 18
455,NBA 2K17    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,8.50m,N/A,N/A,N/A,N/A,N/A,20th Sep 16  ,22nd Oct 20
456,Onimusha    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.50m,N/A,N/A,N/A,N/A,N/A,13th Mar 01  ,04th Feb 20
457,Call of Duty: Infinite Warfare    ,PS4,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,N/A,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16  ,14th Jan 18
458,Fallout 4    ,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.6  ,N/A  ,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15  ,24th Mar 18
459,Mario Kart 8    ,WiiU,Nintendo  ,Nintendo  ,8.4  ,8.8  ,N/A  ,8.46m,N/A,N/A,N/A,N/A,N/A,30th May 14  ,02nd Aug 20
460,Tekken 3    ,PS,Namco  ,Namco  ,N/A  ,9.6  ,N/A  ,8.36m,N/A,N/A,N/A,N/A,N/A,29th Apr 98  ,N/A
461,Monster Hunter 4    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.30m,N/A,N/A,N/A,N/A,N/A,13th Feb 15  ,13th Oct 20
462,FIFA 16    ,PS4,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,N/A,8.22m,1.15m,5.77m,0.07m,1.23m,22nd Sep 15  ,01st Apr 18
463,Lego Star Wars II: The Original Trilogy    ,All,LucasArts  ,TT Games  ,N/A  ,N/A  ,N/A  ,8.20m,N/A,N/A,N/A,N/A,N/A,12th Sep 06  ,09th Jun 21
464,The Last of Us    ,PS3,Sony Computer Entertainment America  ,Naughty Dog  ,9.5  ,9.5  ,N/A  ,8.15m,N/A,N/A,N/A,N/A,N/A,14th Jun 13  ,24th Sep 18
465,GoldenEye 007    ,N64,Nintendo  ,Rare Ltd.  ,N/A  ,9.8  ,N/A  ,8.09m,N/A,N/A,N/A,N/A,N/A,25th Aug 97  ,N/A
466,Mario Party Superstars    ,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,N/A  ,8.07m,N/A,N/A,N/A,N/A,N/A,29th Oct 21  ,15th Jun 21
467,Star Wars Battlefront (2015)    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,7.1  ,N/A  ,N/A,8.03m,3.31m,3.19m,0.23m,1.30m,17th Nov 15  ,24th Mar 18
468,FIFA 13    ,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,8.01m,1.07m,5.13m,0.13m,1.68m,25th Sep 12  ,06th Apr 18
469,Assassin's Creed    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,20th Oct 20
470,Cars    ,All,THQ  ,Rainbow Studios  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,06th Jun 06  ,27th Feb 21
471,Cuphead    ,Series,Studio MDHR  ,Studio MDHR  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,29th Sep 17  ,11th Mar 20
472,Dragon Ball FighterZ    ,All,Bandai Namco Entertainment  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,27th Oct 20
473,Dragon Ball Xenoverse 2    ,All,Bandai Namco Entertainment  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 16  ,27th Oct 20
474,Ghost of Tsushima    ,PS4,Sony Interactive Entertainment  ,Sucker Punch  ,5.0  ,8.8  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,17th Jul 20  ,10th Jul 20
475,Grand Theft Auto: Liberty City Stories    ,All,Rockstar Games  ,Rockstar Leeds/North  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,24th Oct 05  ,13th Oct 20
476,Guitar Hero III: Legends of Rock    ,All,Activision  ,Neversoft  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,28th Oct 07  ,01st Nov 20
477,Halo 2    ,XB,Microsoft Game Studios  ,Bungie Studios  ,N/A  ,9.6  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 04  ,11th Oct 18
478,Harry Potter and the Sorcerer's Stone    ,PS,Electronic Arts  ,Argonaut Games  ,N/A  ,8.0  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 01  ,N/A
479,Inazuma Eleven    ,Series,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,22nd Aug 08  ,17th Feb 20
480,Kinect Sports    ,Series,Microsoft Game Studios  ,Rare  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,09th Oct 10  ,10th Mar 20
481,Moto Racer    ,Series,Electronic Arts  ,SK Software International  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97  ,15th Feb 20
482,NBA 2K16    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,29th Sep 15  ,22nd Oct 20
483,Romance of the Three Kingdoms    ,Series,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 85  ,15th Feb 20
484,Samurai Warriors    ,Series,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,06th May 04  ,15th Feb 20
485,Sid Meier's Civilization V    ,PC,2K Games  ,Firaxis Games  ,8.5  ,8.9  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,21st Sep 10  ,N/A
486,Unreal    ,Series,GT Interactive  ,Epic Games  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,22nd May 98  ,14th Feb 20
487,The Sims 3    ,PC,Electronic Arts  ,EA Redwood Shores  ,8.8  ,8.5  ,N/A  ,N/A,7.96m,1.01m,6.46m,N/A,0.50m,02nd Jun 09  ,N/A
488,Splatoon 3    ,NS,Nintendo  ,Nintendo  ,8.5  ,N/A  ,N/A  ,7.90m,N/A,N/A,N/A,N/A,N/A,09th Sep 22  ,17th Feb 21
489,Super Mario Maker 2    ,NS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,7.89m,N/A,N/A,N/A,N/A,N/A,28th Jun 19  ,24th Apr 19
490,FIFA 09    ,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,7.80m,N/A,N/A,N/A,N/A,N/A,15th Oct 08  ,20th Oct 20
491,Grand Theft Auto: Liberty City Stories    ,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.8  ,N/A  ,N/A,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05  ,N/A
492,Final Fantasy XII    ,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,7.71m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,19th Oct 20
493,Final Fantasy XIII    ,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,7.71m,N/A,N/A,N/A,N/A,N/A,09th Mar 10  ,19th Oct 20
494,Monster Hunter Rise    ,NS,Capcom  ,Capcom  ,7.0  ,N/A  ,N/A  ,7.70m,N/A,N/A,N/A,N/A,N/A,26th Mar 21  ,25th Aug 22
495,Pac-Man    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,7.70m,N/A,N/A,N/A,N/A,N/A,01st Mar 82  ,N/A
496,Cyberpunk 2077    ,PC,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,7.67m,N/A,N/A,N/A,N/A,N/A,19th Nov 20  ,10th Jun 19
497,Magicka    ,Series,Paradox Interactive   ,Arrowhead Game Studios  ,N/A  ,N/A  ,N/A  ,7.66m,N/A,N/A,N/A,N/A,N/A,25th Jan 11  ,16th Feb 21
498,God of War III    ,PS3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.4  ,9.2  ,9.4  ,7.60m,N/A,N/A,N/A,N/A,N/A,16th Mar 10  ,N/A
499,Pokémon Platinum Version    ,DS,Nintendo  ,Game Freak  ,N/A  ,8.3  ,8.9  ,7.60m,N/A,N/A,N/A,N/A,N/A,22nd Mar 09  ,N/A
500,The Legend of Zelda: Ocarina of Time    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,9.9  ,10.0  ,7.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 98  ,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
551,Need for Speed Underground 2    ,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.3  ,N/A  ,N/A,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04  ,N/A
552,Just Dance 4    ,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,6.89m,4.05m,2.21m,N/A,0.62m,09th Oct 12  ,31st Jan 18
553,Mario Kart: Double Dash!!    ,GC,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,6.88m,N/A,N/A,N/A,N/A,N/A,17th Nov 03  ,N/A
554,Tomb Raider II    ,All,Eidos Interactive  ,Core Design  ,N/A  ,N/A  ,N/A  ,6.85m,N/A,N/A,N/A,N/A,N/A,21st Nov 97  ,26th Oct 20
555,Medal of Honor: Frontline    ,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,9.0  ,N/A  ,N/A,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  ,N/A
556,Crash Bandicoot    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,N/A  ,7.8  ,N/A  ,6.82m,N/A,N/A,N/A,N/A,N/A,01st Sep 96  ,N/A
557,Street Fighter V    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.80m,N/A,N/A,N/A,N/A,N/A,16th Feb 16  ,13th Oct 20
558,Clubhouse Games    ,Series,Nintendo  ,"Agenda, C.A. Production, NDcube  ",N/A  ,N/A  ,N/A  ,6.79m,N/A,N/A,N/A,N/A,N/A,09th Oct 06  ,08th Jun 20
559,Uncharted 2: Among Thieves    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,9.2  ,9.5  ,9.6  ,N/A,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09  ,N/A
560,Star Wars: Knights of the Old Republic    ,Series,LucasArts  ,BioWare  ,N/A  ,N/A  ,N/A  ,6.73m,N/A,N/A,N/A,N/A,N/A,15th Jul 03  ,01st Mar 20
561,Call of Duty 4: Modern Warfare    ,PS3,Activision  ,Infinity Ward  ,N/A  ,9.5  ,9.6  ,N/A,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  ,N/A
562,Tomodachi Life    ,3DS,Nintendo  ,Nintendo  ,N/A  ,7.8  ,N/A  ,6.71m,N/A,N/A,N/A,N/A,N/A,06th Jun 14  ,05th Jan 18
563,Kingdom Hearts III    ,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,6.70m,N/A,N/A,N/A,N/A,N/A,29th Jan 19  ,08th Nov 20
564,Lego Star Wars: The Video Game    ,All,Eidos Interactive  ,TT Games  ,N/A  ,N/A  ,N/A  ,6.70m,N/A,N/A,N/A,N/A,N/A,29th Mar 05  ,09th Jun 21
565,FIFA Soccer 12    ,PS3,EA Sports  ,EA Canada  ,N/A  ,9.2  ,N/A  ,N/A,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11  ,N/A
566,FIFA 14    ,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,6.61m,0.79m,4.77m,0.07m,0.98m,24th Sep 13  ,15th Sep 18
567,Fallout 4    ,PC,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,6.60m,N/A,N/A,N/A,N/A,N/A,10th Nov 15  ,24th Mar 18
568,Ben 10    ,Series,D3 Publisher  ,High Voltage Software  ,N/A  ,N/A  ,N/A  ,6.60m,N/A,N/A,N/A,N/A,N/A,30th Oct 07  ,18th Nov 20
569,Resident Evil 8: Village    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,6.60m,N/A,N/A,N/A,N/A,N/A,07th May 21  ,11th May 21
570,Red Dead Redemption    ,PS3,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,N/A  ,N/A,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11  ,N/A
571,Donkey Kong Country Returns    ,Wii,Nintendo  ,Retro Studios  ,8.6  ,8.6  ,N/A  ,6.53m,N/A,N/A,N/A,N/A,N/A,21st Nov 10  ,N/A
572,Mario & Sonic at the Olympic Winter Games    ,All,Sega  ,Sega Sports R&D  ,N/A  ,N/A  ,N/A  ,6.53m,N/A,N/A,N/A,N/A,N/A,13th Oct 09  ,09th Nov 20
573,The Legend of Zelda    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,9.0  ,N/A  ,6.51m,N/A,N/A,N/A,N/A,N/A,22nd Aug 87  ,N/A
574,Assassin's Creed III    ,PS3,Ubisoft  ,Ubisoft Montreal  ,9.2  ,8.8  ,N/A  ,N/A,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12  ,12th Apr 18
575,Detroit: Become Human    ,All,Sony Interactive Entertainment  ,Quantic Dream  ,N/A  ,N/A  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,25th May 18  ,22nd Feb 21
576,Dragon Quest XI    ,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,04th Sep 18  ,23rd Oct 20
577,Guild Wars    ,PC,NCSoft  ,ArenaNet  ,N/A  ,8.7  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,26th Apr 05  ,N/A
578,Madden NFL 06    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,08th Aug 05  ,19th Oct 22
579,Marvel's Spider-Man: Miles Morales    ,All,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,6.50m,N/A,N/A,N/A,N/A,N/A,12th Nov 20  ,03rd Feb 21
580,Red Dead Redemption    ,X360,Rockstar Games  ,Rockstar San Diego  ,9.1  ,9.5  ,10.0  ,N/A,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10  ,N/A
581,The Elder Scrolls V: Skyrim    ,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.0  ,N/A  ,N/A,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11  ,01st Apr 18
582,Diddy Kong Racing    ,Series,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,6.47m,N/A,N/A,N/A,N/A,N/A,24th Nov 97  ,22nd Feb 20
583,Luigi's Mansion: Dark Moon    ,3DS,Nintendo  ,Next Level Games  ,7.0  ,8.6  ,N/A  ,6.47m,N/A,N/A,N/A,N/A,N/A,24th Mar 13  ,03rd Aug 20
